"#Parameters = {h=1.6; lo1=5.55; lo2=4.4; lp=6.7; t=0.035; wg=25; wo1=0.6; wo2=2.96; wp=7.6; yg=25}";
"#""Frequency / GHz""";S1,1 [Magnitude]
10.454.000.473.022;-26.320.426.991.053
10.460.800.170.898;-26.198.391.147.220
10.467.599.868.774;-26.078.618.889.845
10.474.399.566.650;-25.961.087.631.689
10.481.200.218.201;-25.845.790.798.819
10.487.999.916.077;-25.732.708.194.482
10.494.799.613.953;-25.621.823.047.748
10.501.600.265.503;-25.513.125.105.775
10.508.399.963.379;-25.406.588.389.853
10.515.199.661.255;-25.302.177.735.031
10.522.000.312.805;-25.199.884.169.705
10.528.800.010.681;-25.099.692.301.172
10.535.599.708.557;-25.001.562.765.866
10.542.400.360.107;-24.905.482.592.764
10.549.200.057.983;-24.811.411.816.387
10.555.999.755.859;-24.719.320.147.082
10.562.800.407.410;-24.629.173.149.586
10.569.600.105.286;-24.540.956.301.551
10.576.399.803.162;-24.454.627.128.477
10.583.200.454.712;-24.370.143.665.107
10.590.000.152.588;-24.287.491.460.196
10.596.799.850.464;-24.206.614.948.236
10.603.599.548.340;-24.127.482.848.532
10.610.400.199.890;-24.050.067.219.858
10.617.199.897.766;-23.974.317.317.101
10.623.999.595.642;-23.900.195.819.363
10.630.800.247.192;-23.827.669.321.241
10.637.599.945.068;-23.756.676.047.825
10.644.399.642.944;-23.687.199.774.909
10.651.200.294.495;-23.619.180.228.341
10.657.999.992.371;-23.552.580.358.192
10.664.799.690.247;-23.487.354.526.955
10.671.600.341.797;-23.423.462.077.667
10.678.400.039.673;-23.360.851.293.605
10.685.199.737.549;-23.299.476.740.954
10.692.000.389.099;-23.239.299.285.059
10.698.800.086.975;-23.180.271.626.025
10.705.599.784.851;-23.122.345.236.394
10.712.400.436.401;-23.065.478.837.048
10.719.200.134.277;-23.009.621.872.733
10.725.999.832.153;-22.954.726.290.041
10.732.799.530.029;-22.900.753.527.258
10.739.600.181.580;-22.847.654.323.379
10.746.399.879.456;-22.795.388.380.747
10.753.199.577.332;-22.743.912.787.908
10.760.000.228.882;-22.693.175.967.606
10.766.799.926.758;-22.643.137.064.684
10.773.599.624.634;-22.593.765.163.481
10.780.400.276.184;-22.545.000.391.513
10.787.199.974.060;-22.496.818.577.258
10.793.999.671.936;-22.449.171.802.430
10.800.800.323.486;-22.402.021.986.014
10.807.600.021.362;-22.355.333.373.910
10.814.399.719.238;-22.309.067.922.411
10.821.200.370.789;-22.263.195.437.601
10.828.000.068.665;-22.217.680.366.059
10.834.799.766.541;-22.172.488.958.650
10.841.600.418.091;-22.127.586.252.443
10.848.400.115.967;-22.082.954.450.000
10.855.199.813.843;-22.038.552.161.690
10.862.000.465.393;-21.994.366.776.479
10.868.800.163.269;-21.950.359.072.271
10.875.599.861.145;-21.906.509.494.028
10.882.399.559.021;-21.862.812.903.300
10.889.200.210.571;-21.819.236.030.254
10.895.999.908.447;-21.775.766.332.862
10.902.799.606.323;-21.732.387.849.368
10.909.600.257.874;-21.689.066.105.373
10.916.399.955.750;-21.645.823.163.325
10.923.199.653.625;-21.602.630.200.231
10.930.000.305.176;-21.559.480.418.252
10.936.800.003.052;-21.516.360.194.307
10.943.599.700.928;-21.473.279.199.800
10.950.400.352.478;-21.430.229.828.326
10.957.200.050.354;-21.387.211.767.294
10.963.999.748.230;-21.344.224.046.111
10.970.800.399.780;-21.301.258.624.654
10.977.600.097.656;-21.258.345.377.051
10.984.399.795.532;-21.215.462.602.229
10.991.200.447.083;-21.172.637.190.338
10.998.000.144.958;-21.129.883.855.449
11.004.799.842.834;-21.087.192.511.059
11.011.599.540.710;-21.044.581.972.017
11.018.400.192.261;-21.002.078.636.478
11.025.199.890.137;-20.959.692.289.024
11.031.999.588.013;-20.917.436.742.544
11.038.800.239.563;-20.875.329.288.858
11.045.599.937.439;-20.833.408.864.515
11.052.399.635.315;-20.791.676.855.641
11.059.200.286.865;-20.750.151.763.088
11.065.999.984.741;-20.708.869.665.095
11.072.799.682.617;-20.667.856.401.793
11.079.600.334.167;-20.627.139.386.059
11.086.400.032.043;-20.586.732.423.594
11.093.199.729.919;-20.546.668.218.747
11.100.000.381.470;-20.506.971.327.371
11.106.800.079.346;-20.467.688.909.081
11.113.599.777.222;-20.428.817.353.626
11.120.400.428.772;-20.390.421.724.832
11.127.200.126.648;-20.352.502.304.134
11.133.999.824.524;-20.315.103.238.218
11.140.800.476.074;-20.278.247.912.636
11.147.600.173.950;-20.241.985.662.125
11.154.399.871.826;-20.206.317.703.303
11.161.199.569.702;-20.171.289.849.562
11.168.000.221.252;-20.136.935.659.075
11.174.799.919.128;-20.103.284.549.181
11.181.599.617.004;-20.070.339.379.276
11.188.400.268.555;-20.038.168.784.124
11.195.199.966.431;-20.006.778.722.000
11.201.999.664.307;-19.976.192.544.646
11.208.800.315.857;-19.946.441.105.142
11.215.600.013.733;-19.917.554.665.020
11.222.399.711.609;-19.889.570.576.930
11.229.200.363.159;-19.862.495.409.810
11.236.000.061.035;-19.836.336.860.900
11.242.799.758.911;-19.811.157.979.852
11.249.600.410.461;-19.786.946.872.688
11.256.400.108.337;-19.763.739.651.477
11.263.199.806.213;-19.741.544.894.135
11.270.000.457.764;-19.720.390.572.186
11.276.800.155.640;-19.700.277.651.255
11.283.599.853.516;-19.681.226.907.198
11.290.399.551.392;-19.663.255.401.500
11.297.200.202.942;-19.646.372.880.159
11.303.999.900.818;-19.630.578.524.170
11.310.799.598.694;-19.615.891.374.498
11.317.600.250.244;-19.602.312.706.708
11.324.399.948.120;-19.589.857.297.753
11.331.199.645.996;-19.578.509.211.463
11.338.000.297.546;-19.568.284.899.479
11.344.799.995.422;-19.559.172.470.957
11.351.599.693.298;-19.551.169.381.412
11.358.400.344.849;-19.544.287.034.728
11.365.200.042.725;-19.538.512.814.719
11.371.999.740.601;-19.533.833.144.984
11.378.800.392.151;-19.530.236.735.368
11.385.600.090.027;-19.527.714.233.043
11.392.399.787.903;-19.526.251.431.406
11.399.200.439.453;-19.525.842.917.001
11.406.000.137.329;-19.526.473.468.576
11.412.799.835.205;-19.528.101.001.598
11.419.599.533.081;-19.530.723.324.469
11.426.400.184.631;-19.534.321.904.742
11.433.199.882.507;-19.538.864.326.801
11.439.999.580.383;-19.544.348.294.687
11.446.800.231.934;-19.550.706.678.656
11.453.599.929.810;-19.557.944.924.005
11.460.399.627.686;-19.566.023.144.619
11.467.200.279.236;-19.574.916.661.196
11.473.999.977.112;-19.584.580.461.840
11.480.799.674.988;-19.594.996.468.448
11.487.600.326.538;-19.606.121.040.533
11.494.400.024.414;-19.617.931.313.877
11.501.199.722.290;-19.630.378.112.393
11.508.000.373.840;-19.643.431.049.151
11.514.800.071.716;-19.657.054.523.905
11.521.599.769.592;-19.671.205.910.961
11.528.400.421.143;-19.685.850.785.416
11.535.200.119.019;-19.700.945.198.330
11.541.999.816.895;-19.716.455.301.189
11.548.800.468.445;-19.732.318.839.148
11.555.600.166.321;-19.748.528.160.762
11.562.399.864.197;-19.765.033.356.407
11.569.199.562.073;-19.781.782.012.385
11.576.000.213.623;-19.798.738.496.029
11.582.799.911.499;-19.815.874.993.307
11.589.599.609.375;-19.833.133.866.416
11.596.400.260.925;-19.850.480.158.835
11.603.199.958.801;-19.867.883.134.903
11.609.999.656.677;-19.885.298.647.365
11.616.800.308.228;-19.902.689.288.098
11.623.600.006.104;-19.920.011.746.534
11.630.399.703.979;-19.937.228.864.251
11.637.200.355.530;-19.954.328.211.682
11.644.000.053.406;-19.971.265.359.963
11.650.799.751.282;-19.987.988.541.507
11.657.600.402.832;-20.004.486.782.229
11.664.400.100.708;-20.020.720.632.680
11.671.199.798.584;-20.036.665.702.922
11.678.000.450.134;-20.052.280.423.033
11.684.800.148.010;-20.067.583.107.092
11.691.599.845.886;-20.082.491.402.477
11.698.399.543.762;-20.097.025.753.995
11.705.200.195.312;-20.111.157.291.356
11.711.999.893.188;-20.124.848.561.814
11.718.799.591.064;-20.138.110.403.302
11.725.600.242.615;-20.150.913.090.609
11.732.399.940.491;-20.163.252.980.419
11.739.199.638.367;-20.175.111.305.591
11.746.000.289.917;-20.186.482.216.121
11.752.799.987.793;-20.197.384.251.033
11.759.599.685.669;-20.207.777.906.550
11.766.400.337.219;-20.217.684.209.347
11.773.200.035.095;-20.227.106.478.129
11.779.999.732.971;-20.236.021.538.558
11.786.800.384.521;-20.244.487.246.527
11.793.600.082.397;-20.252.469.787.753
11.800.399.780.273;-20.259.997.874.558
11.807.200.431.824;-20.267.068.223.879
11.814.000.129.700;-20.273.714.203.466
11.820.799.827.576;-20.279.947.999.908
11.827.599.525.452;-20.285.793.804.496
11.834.400.177.002;-20.291.271.067.699
11.841.199.874.878;-20.296.399.646.265
11.847.999.572.754;-20.301.216.234.622
11.854.800.224.304;-20.305.733.403.311
11.861.599.922.180;-20.310.008.091.997
11.868.399.620.056;-20.314.043.097.903
11.875.200.271.606;-20.317.895.850.777
11.881.999.969.482;-20.321.590.312.686
11.888.799.667.358;-20.325.159.848.440
11.895.600.318.909;-20.328.657.012.662
11.902.400.016.785;-20.332.120.081.566
11.909.199.714.661;-20.335.581.018.416
11.916.000.366.211;-20.339.093.742.559
11.922.800.064.087;-20.342.695.335.718
11.929.599.761.963;-20.346.434.059.313
11.936.400.413.513;-20.350.359.851.557
11.943.200.111.389;-20.354.522.453.035
11.949.999.809.265;-20.358.956.400.796
11.956.800.460.815;-20.363.723.160.002
11.963.600.158.691;-20.368.863.779.309
11.970.399.856.567;-20.374.430.388.746
11.977.199.554.443;-20.380.473.330.225
11.984.000.205.994;-20.387.049.449.625
11.990.799.903.870;-20.394.205.694.311
11.997.599.601.746;-20.401.971.112.845
12.004.400.253.296;-20.410.420.389.639
12.011.199.951.172;-20.419.596.750.997
12.017.999.649.048;-20.429.533.888.432
12.024.800.300.598;-20.440.306.821.941
12.031.599.998.474;-20.451.931.053.143
12.038.399.696.350;-20.464.473.198.496
12.045.200.347.900;-20.477.972.128.071
12.052.000.045.776;-20.492.472.534.136
12.058.799.743.652;-20.508.017.801.376
12.065.600.395.203;-20.524.643.504.213
12.072.400.093.079;-20.542.401.320.245
12.079.199.790.955;-20.561.324.000.299
12.086.000.442.505;-20.581.419.878.672
12.092.800.140.381;-20.602.770.039.216
12.099.599.838.257;-20.625.388.724.056
12.106.399.536.133;-20.649.288.084.753
12.113.200.187.683;-20.674.517.521.299
12.119.999.885.559;-20.701.105.467.024
12.126.799.583.435;-20.729.063.849.939
12.133.600.234.985;-20.758.415.509.034
12.140.399.932.861;-20.789.185.234.909
12.147.199.630.737;-20.821.386.134.754
12.154.000.282.288;-20.855.042.549.994
12.160.799.980.164;-20.890.148.267.007
12.167.599.678.040;-20.926.722.130.045
12.174.400.329.590;-20.964.767.982.356
12.181.200.027.466;-21.004.285.136.425
12.187.999.725.342;-21.045.286.536.412
12.194.800.376.892;-21.087.771.708.362
12.201.600.074.768;-21.131.715.518.320
12.208.399.772.644;-21.177.135.975.314
12.215.200.424.194;-21.223.992.155.891
12.222.000.122.070;-21.272.298.228.052
12.228.799.819.946;-21.322.024.401.566
12.235.600.471.497;-21.373.149.287.803
12.242.400.169.373;-21.425.655.956.545
12.249.199.867.249;-21.479.516.995.117
12.255.999.565.125;-21.534.698.992.693
12.262.800.216.675;-21.591.185.669.253
12.269.599.914.551;-21.648.931.175.368
12.276.399.612.427;-21.707.901.342.227
12.283.200.263.977;-21.768.057.361.179
12.289.999.961.853;-21.829.371.714.109
12.296.799.659.729;-21.891.775.769.221
12.303.600.311.279;-21.955.240.295.031
12.310.400.009.155;-22.019.713.841.848
12.317.199.707.031;-22.085.139.623.536
12.324.000.358.582;-22.151.474.008.130
12.330.800.056.458;-22.218.640.457.288
12.337.599.754.333;-22.286.611.814.439
12.344.400.405.884;-22.355.306.144.874
12.351.200.103.760;-22.424.676.145.830
12.357.999.801.636;-22.494.647.651.547
12.364.800.453.186;-22.565.170.312.463
12.371.600.151.062;-22.636.160.079.475
12.378.399.848.938;-22.707.566.356.036
12.385.199.546.814;-22.779.315.136.900
12.392.000.198.364;-22.851.339.735.382
12.398.799.896.240;-22.923.561.415.061
12.405.599.594.116;-22.995.927.033.575
12.412.400.245.667;-23.068.361.342.056
12.419.199.943.542;-23.140.794.287.184
12.425.999.641.418;-23.213.163.157.243
12.432.800.292.969;-23.285.369.719.239
12.439.599.990.845;-23.357.373.864.232
12.446.399.688.721;-23.429.093.787.608
12.453.200.340.271;-23.500.451.053.483
12.460.000.038.147;-23.571.403.970.722
12.466.799.736.023;-23.641.873.217.785
12.473.600.387.573;-23.711.791.433.864
12.480.400.085.449;-23.781.109.087.669
12.487.199.783.325;-23.849.741.833.157
12.494.000.434.875;-23.917.648.481.416
12.500.800.132.751;-23.984.775.738.372
12.507.599.830.627;-24.051.052.217.684
12.514.399.528.503;-24.116.424.723.353
12.521.200.180.054;-24.180.872.349.602
12.527.999.877.930;-24.244.313.581.138
12.534.799.575.806;-24.306.720.298.445
12.541.600.227.356;-24.368.057.206.474
12.548.399.925.232;-24.428.286.223.707
12.555.199.623.108;-24.487.356.759.772
12.562.000.274.658;-24.545.263.662.464
12.568.799.972.534;-24.601.961.076.816
12.575.599.670.410;-24.657.439.070.480
12.582.400.321.960;-24.711.676.330.219
12.589.200.019.836;-24.764.657.506.304
12.595.999.717.712;-24.816.368.452.380
12.602.800.369.263;-24.866.807.808.887
12.609.600.067.139;-24.915.988.666.458
12.616.399.765.015;-24.963.891.872.179
12.623.200.416.565;-25.010.535.446.955
12.630.000.114.441;-25.055.932.457.452
12.636.799.812.317;-25.100.100.817.476
12.643.600.463.867;-25.143.059.411.894
12.650.400.161.743;-25.184.850.279.290
12.657.199.859.619;-25.225.466.724.661
12.663.999.557.495;-25.264.979.102.832
12.670.800.209.045;-25.303.421.318.834
12.677.599.906.921;-25.340.829.711.607
12.684.399.604.797;-25.377.238.528.736
12.691.200.256.348;-25.412.740.069.395
12.697.999.954.224;-25.447.346.835.195
12.704.799.652.100;-25.481.158.017.561
12.711.600.303.650;-25.514.221.631.116
12.718.400.001.526;-25.546.595.264.106
12.725.199.699.402;-25.578.383.028.978
12.732.000.350.952;-25.609.629.192.790
12.738.800.048.828;-25.640.430.812.253
12.745.599.746.704;-25.670.861.594.622
12.752.400.398.254;-25.701.019.602.881
12.759.200.096.130;-25.730.966.033.866
12.765.999.794.006;-25.760.822.000.217
12.772.800.445.557;-25.790.671.270.424
12.779.600.143.433;-25.820.616.921.964
12.786.399.841.309;-25.850.732.006.960
12.793.199.539.185;-25.881.143.632.713
12.800.000.190.735;-25.911.942.719.123

